2013-01-10 23:14:59 status half-installed libflac8:armhf 1.2.1-6build1
2013-01-10 23:14:59 status unpacked libflac8:armhf 1.2.1-6build1
2013-01-10 23:14:59 status unpacked libflac8:armhf 1.2.1-6build1
2013-01-10 23:14:59 install libvorbis0a:armhf <none> 1.3.2-1.3
2013-01-10 23:14:59 status half-installed libvorbis0a:armhf 1.3.2-1.3
2013-01-10 23:14:59 status unpacked libvorbis0a:armhf 1.3.2-1.3
2013-01-10 23:14:59 status unpacked libvorbis0a:armhf 1.3.2-1.3
2013-01-10 23:15:00 install libvorbisenc2:armhf <none> 1.3.2-1.3
2013-01-10 23:15:00 status half-installed libvorbisenc2:armhf 1.3.2-1.3
2013-01-10 23:15:01 status unpacked libvorbisenc2:armhf 1.3.2-1.3
2013-01-10 23:15:01 status unpacked libvorbisenc2:armhf 1.3.2-1.3
2013-01-10 23:15:02 install libsndfile1:armhf <none> 1.0.25-5
2013-01-10 23:15:02 status half-installed libsndfile1:armhf 1.0.25-5
2013-01-10 23:15:02 status unpacked libsndfile1:armhf 1.0.25-5
2013-01-10 23:15:02 status unpacked libsndfile1:armhf 1.0.25-5
2013-01-10 23:15:02 install libpulse0:armhf <none> 1:2.1-0ubuntu4
2013-01-10 23:15:02 status half-installed libpulse0:armhf 1:2.1-0ubuntu4
2013-01-10 23:15:02 status unpacked libpulse0:armhf 1:2.1-0ubuntu4
2013-01-10 23:15:02 status unpacked libpulse0:armhf 1:2.1-0ubuntu4
2013-01-10 23:15:02 install libsonic0:armhf <none> 0.1.17-1.1build1
2013-01-10 23:15:02 status half-installed libsonic0:armhf 0.1.17-1.1build1
2013-01-10 23:15:02 status unpacked libsonic0:armhf 0.1.17-1.1build1
2013-01-10 23:15:03 status unpacked libsonic0:armhf 0.1.17-1.1build1
2013-01-10 23:15:03 install espeak-data:armhf <none> 1.46.02-2ubuntu1
2013-01-10 23:15:03 status half-installed espeak-data:armhf 1.46.02-2ubuntu1
2013-01-10 23:15:07 status unpacked espeak-data:armhf 1.46.02-2ubuntu1
2013-01-10 23:15:07 status unpacked espeak-data:armhf 1.46.02-2ubuntu1
2013-01-10 23:15:09 install libespeak1:armhf <none> 1.46.02-2ubuntu1
